Model,AUC
Logistic Regression,0.8445054945054945
Ridge Classifier,0.8318681318681319
Gaussian Naive Bayes,0.8258241758241759
AdaBoost,0.8076923076923077
Gradient Boosting,0.7538461538461538
Random Forest,0.7156593406593407
Extra Trees,0.635989010989011
SVM (RBF),0.6170329670329671
